Title,Price,Rating
Teacher Planner | EDITABLE Digital & Printable Binder | 2022-2023 FREE UPDATES!,$30.00,"38,400"
STEM Bins® / STEAM Bins®,$7.50,"29,300"
Hello Fonts - Personal & Non-Commercial Use,$14.50,"21,200"
Guided Reading,$3.96,"18,200"
FREE Clipart and FREE Bulletin Board Elements {Distance Learning Decor},$8.75,"15,800"
Making Inferences Task Cards - Digital and Print Inferencing Activities,$14.95,"14,300"
Writing Center Starter Kit! {Printables},$6.50,"13,800"
Reading Interactive Notebook: Literature Activities | Literary Elements,$5.99,"13,500"
Sight Word Stick Centers,$5.95,"13,300"
End of the Year Awards,$4.00,"12,500"
Theme Task Cards with Print and Digital Versions - Great Reading Differentiation,$3.99,"12,400"
Back to School Flipbook for Meet the Teacher Night,$4.96,"12,100"
Place Value Math Project,$3.75,"12,000"
Main Idea Task Cards Differentiated Options with Audio Support Reading Strategy,$6.25,"12,000"
Place Value Mystery Pictures,$8.50,"11,900"
Brain Breaks,$18.00,"11,600"
Spring Math and Literacy Packet NO PREP (Kindergarten),$13.95,"11,500"
Writers Workshop : Writing Through the Year Unit 1,$15.99,"11,100"
Reading Interactive Notebook: Nonfiction Text Activities,$6.00,"11,000"
Paragraph of the Week | Paragraph Writing,$8.50,"11,000"
Back to School Activities - Getting to Know You - All About Me - Team Building,$7.00,"10,900"
Winter Math and Literacy Packet NO PREP (Kindergarten),$3.00,"10,800"
"Figurative Language Worksheets and Google Slides - Idiom, Simile, Hyperbole etc",$6.98,"10,700"
Grammar Interactive Notebook: Grammar Activities | Interactive Grammar Notebook,$15.95,"10,500"
Rise and Shine Binder,$8.00,"10,600"
Brag Tags Bundle #1 | Digital Stickers | Digital Brag Tags for Distance Learning,$12.00,"10,600"
Read and Sequence NO PREP Packet (Set 1) Google™ Slide Ready,$6.50,"10,500"
First Grade Back to School Activities and Crafts for the First Day of School,$10.00,"10,400"
"Sight Words Morning Work Worksheets: Spring, Summer & End of the Year Activities",$21.00,"10,200"
1st and 2nd Grade Math Toothy® Task Cards Bundle | Games | Math Centers | Review,$216.00,"10,100"
Math Interactive Notebook for Upper Elementary,$14.50,"10,100"
Figurative Language Stories ~ Close Reading for Common Core Grades 4-8,$5.95,"10,100"
All About Me Pennant,$1.00,"10,100"
Teacher Toolbox Labels - Editable - Bright,$5.50,"10,000"
Summarizing Task Cards - Nonfiction Text Summary with Audio - Print & Digital,$3.96,"9,700"
December NO PREP Packet (Kindergarten) Christmas,$6.75,"9,600"
Sight Word Fluency Phrase Booklets,$6.75,"9,500"
Editable Teacher Binder | Teacher Planner 2022-2023 | FREE Updates for Life,$200.00,"9,500"
Font License- SINGLE FONT,$5.00,"9,500"
Kindergarten Reading Intervention and Alphabet Activities | Back to School,$17.99,"9,500"
Daily Classroom Slides with Timers for Center Rotations & Behavior Management,$23.75,"9,300"
Writing Interactive Notebooks: Writing Activities {Interactive Writing Notebook},$15.95,"9,300"
Vocabulary Activities - Word Work for Big Kids,$5.25,"9,200"
Reading Intervention Binder for Beginning Readers No Prep ELA SOR Aligned,$21.50,"9,100"
Amazing Classroom Essentials: Sweet Apple Design,$7.50,"8,900"
Division Project,$3.99,"8,800"
Phonics Reading Comprehension Passages And Questions BUNDLE,$25.00,"8,800"
Morning Adapted Work Binder® (for Special Needs) | Adapted Morning Work,$15.00,"8,600"
"Life Cycle of Plants Unit, Investigations & Plant Life Cycle PowerPoint NGSS",$12.00,"8,600"
My First Grade Helper,$2.50,"8,500"
END OF YEAR REVIEW activity craft writing bulletin board ME ON THE MAP SKILLS,$6.49,"8,300"
3rd Grade Reading Interactive Notebook (aligned with the Common Core),$13.50,"8,300"
December NO PREP Packet (1st Grade) Christmas,$6.75,"8,200"
Spelling Practice in a Snap,$8.50,"8,100"
Fractions Project,$3.99,"8,100"
Making Inferences Task Cards | Inferencing Activities,$3.49,"8,100"
CVC Word Family Word Work,$4.50,"8,000"
Learning Objectives | Bulletin Board | Objectives Board | Classroom Decor,$5.75,"8,000"
2 Digit Subtraction with Regrouping,$6.75,"8,000"
Summer Packet NO PREP Review (Kindergarten),$10.00,"7,900"
Arrays Arrays Arrays! (Including Multiplication as Repeated Addition Worksheets),$5.00,"7,900"
Names Unit: Literacy and Math Fun with Names,$10.00,"7,800"
Addition & Subtraction Coloring Pages: End of Year Math Color by Number Activity,$21.00,"7,800"
"Behavior Management Green and Red Choices Preschool, Pre-K, and Kindergarten",$4.50,"7,700"
Nonfiction Text Structures UNIT | Digital & Print | Google Classroom Ready,$14.99,"7,700"
Name Tracing Editable Practice,$42.00,"7,700"
Digital and Printable Math Activity: Fraction Pizza,$3.00,"7,700"
"HUGE Seller's Toolkit Bundle - Digital Papers, Borders, Frames, and Fonts!",$5.00,"7,700"
Second Grade Back to School Activities and Crafts for the First Day of School,$10.00,"7,600"
All About Me Selfie + Writing Prompts w/ Reflective End of the Year Activity,$5.49,"7,600"
Editable Morning Greeting • Morning Greetings Social Distancing • Spring,$4.00,"7,600"
2nd Grade Phonics Toothy® Task Cards | First Grade Phonics Games | 1st Grade,$25.00,"7,600"
Main Idea vs. Theme | Digital and Printable,$3.99,"7,600"
3rd Grade Language Interactive Notebook (Common Core aligned),$9.75,"7,500"
Summer Packet NO PREP Review (1st Grade),$10.00,"7,500"
Compare and Contrast Task Cards - Print or Digital - Audio Support,$3.96,"7,400"
Number Sense Activities (0-20),$5.50,"7,300"
February NO PREP Packet (Kindergarten),$6.75,"7,300"
4th Grade Interactive Reading Notebook (aligned with Common Core),$13.50,"7,200"
Paragraph of the Week | Paragraph Writing | PRINT & DIGITAL | GOOGLE Classroom,$14.99,"7,200"
First Day of School Task Cards,$1.50,"7,200"
Back to School NO PREP Math and Literacy Packet (Kindergarten),$8.50,"7,200"
Author's Purpose Task Cards using PIE - Print and Digital with Easel | Audio,$3.28,"7,200"
2nd Grade Reading Interactive Notebook (aligned with the Common Core),$13.50,"7,100"
Spelling Activities | Word Work for ANY list - with Summer Pages,$12.00,"7,100"
2nd and 3rd Grade Grammar Toothy® Task Cards | Daily Practice | Grammar Review,$168.00,"7,100"
Phonics Reading Comprehension Passages and Questions ALL YEAR Distance Learning,$39.00,"7,100"
March NO PREP Packet (Kindergarten),$7.00,"7,100"
Schedule Cards {The First Grade Parade},$3.96,"7,000"
Informational Text Structures Task Cards Print and Digital with Audio Support,$3.38,"7,000"
Cause and Effect Task Cards with Graphic Organizers Digital and Audio Support,$11.50,"7,100"
Back to School Activities | Beginning of the Year BUNDLE | Distance Learning,$8.50,"7,000"
Editable Newsletter Templates for Distance Learning,$6.00,"6,800"
Contraction Surgery Center,$3.00,"6,800"
"2nd Grade Morning Work • Second Grade Spiral Review Math & ELA + Google, Seesaw",$31.80,"6,800"
Paragraph Writing - How to Write a Paragraph of the Week - Digital or Print,$14.98,"6,800"
Calendar & Newsletter Template Bundle | Monthly & Weekly Newsletters | +Digital,$18.75,"6,800"
"CVC Booklets (Build it, Read it, Write it)!",$6.00,"6,800"
Prefixes Suffixes Roots Worksheets plus Digital Versions - Google Slides & Easel,$6.98,"6,800"
Writing Silly Sentences | Silly Rainbow Sentences,$10.00,"6,800"
Reward Coupons for Positive Classroom Management,$12.00,"6,700"
Kindergarten Sight Word Practice (Endless),$617.00,"6,700"
Math Tools K-5th,$8.50,"6,700"
Back To School Task Cards Getting to Know You Task Cards | Digital and Printable,$3.99,"6,700"
1st Grade Reading Comprehension Passages and Questions Print and Digital,$12.00,"6,600"
Phonics Poems for Grades K-2 | with Digital Version for Distance Learning,$21.99,"6,600"
Reading Response Menus Digital and Printable *EDITABLE*,$6.00,"6,600"
KinderSurvival: Kindergarten Back to School Curriculum,$8.00,"6,600"
Project Based Learning: Geometrocity! A Math PBL,$6.95,"6,600"
The ULTIMATE Phonics Worksheet Pack {Kindergarten Phonics},$10.00,"6,500"
Sight Word Fluency Passages For Reading Intervention and Distance Learning,$12.99,"6,600"
Informational Text Structures Task Cards | Google Classroom,$4.29,"6,500"
STEM Bins® Seasonal Task Cards - Spring STEM,$5.00,"6,500"
Math Centers Bundle THIRD GRADE,$49.50,"6,400"
"STEM CHALLENGES for the ENTIRE YEAR: Spring, End of the Year STEM Activities",$74.00,"6,400"
"First Grade Math Unit 1: Number Sense, Counting Forward, Ten Frames (and more!)",$17.00,"6,400"
"1st Grade Morning Work, 1st Grade Writing Prompts, Guided Reading - ALL YEAR",$99.00,"6,400"
"Telling Time to the Hour, Half Hour, and Five Minutes",$7.00,"6,300"
Spring Math and Literacy Packet NO PREP (1st Grade),$8.50,"6,300"
ALL Kimberly Geswein Fonts in One Big Download: Personal Use,$7.00,"6,200"
Fall Math and Literacy Packet NO PREP (1st Grade),$8.99,"6,300"
Using Pictures to Teach Reading Skills | Digital and Printable,$13.00,"6,300"
Christmas Around the World Scrapbook,$24.00,"6,300"
1st Grade Morning Work - 1st Grade Writing Prompts For the Entire Year,$8.50,"6,200"
Reading Comprehension Worksheets & Activities,$5.50,"6,200"
Classroom Jobs EDITABLE Classroom Decor,$9.75,"6,200"
4th Grade Language Interactive Notebook (aligned with the Common Core),$8.00,"6,200"
Kindergarten Sight Word Practice: Sentences & Games Guided Reading Levels A & B,$6.25,"6,200"
Reading Response Journals | Reading Notebook | Fiction | Print & Digital,$27.00,"6,200"
2nd Grade Reading Comprehension Passages & Questions + Google Classroom,$6.00,"6,200"
I Can Read Simple Sentences NO PREP (Set 1),$36.00,"6,200"
Fluency Strips™ (The BUNDLE) - Quick and Easy Practice and Assessment,$25.77,"6,100"
Reading Skills Task Card Bundle | Digital and Printable,$10.00,"6,100"
Thanksgiving Activities,$9.25,"6,100"
Place Value,$9.50,"6,100"
"Question of the Day Bundle for Preschool, Pre-K, and Kindergarten",$5.50,"6,000"
Activities for Writing Sentences and Ending Punctuation,$3.00,"6,000"
Area and Perimeter Robot Craft,$4.00,"6,000"
40 Sight Word Poems for Shared Reading (Poetry For Beginning Readers),$5.50,"6,000"
"Calm Down Techniques - Calm Down Corner, Books, Posters, and Supports",$4.00,"6,000"
"Describing & Inferring Details with Picture of the Day: Reading Photos ""Closely""",$20.00,"6,000"
Book Club Fiction and Nonfiction Bundle Digital and Printable,$8.00,"5,900"
Secret CVC Words (Short Vowels A E I O U and Alphabet Letter Sounds Practice),$2.00,"5,900"
Drawing Conclusions Task Cards for Making Inferences with Digital Google & Easel,$3.38,"5,900"
Leveled Reading Passages with Comprehension Questions Bundle Distance Learning,$30.00,"5,900"
"Math Centers {1st Grade} 28 Centers, Labels, and Visual Directions",$15.00,"5,900"
My Book of Fractions,$2.40,"5,900"
"Main Idea and Supporting Details Activities, Passages, Worksheets, Scaffolded",$7.25,"5,900"
Stupendous Story Elements,$6.75,"5,800"
February NO PREP Packet (1st Grade),$3.96,"5,900"
Context Clues Task Cards and Anchor Chart Print and Digital with Audio Support,$7.50,"5,800"
